on_cpu,new_cpu,old_cpu,pid,jiffies
1,3,1,2552531,4298926948
4,4,1,2552472,4298926948
5,2,5,2552529,4298926948
15,13,15,2552533,4298926948
15,15,14,2551838,4298926948
17,21,17,2552530,4298926948
24,5,24,2552537,4298926949
24,24,12,2551786,4298926949
24,7,24,2552538,4298926949
17,0,17,2552541,4298926950
17,17,24,2551786,4298926950
5,3,5,2552540,4298926950
8,4,8,2552542,4298926951
12,12,6,2552473,4298926951
7,7,0,2552541,4298926952
9,9,4,2552472,4298926953
19,6,19,2552549,4298926953
3,9,3,2552552,4298926954
26,26,20,2552471,4298926954
6,7,6,2552550,4298926954
0,20,0,2552555,4298926955
0,0,17,2551786,4298926955
13,20,13,2552559,4298926955
1,1,21,2552544,4298926955
9,9,20,2552554,4298926955
22,9,22,2552561,4298926956
22,22,0,2551786,4298926956
11,11,10,2551832,4298926957
3,3,21,2552475,4298926957
7,7,21,2552558,4298926957
9,9,7,1913,4298926957
3,3,2,2552546,4298926958
9,9,20,2552566,4298926957
9,9,22,2551786,4298926957
20,20,9,2552472,4298926958
21,9,21,2552567,4298926958
2,2,6,863,4298926958
2,9,1,827,4298926958
22,9,22,2552568,4298926958
10,10,11,2551831,4298926959
3,3,6,2552535,4298926959
21,9,21,2552570,4298926959
20,2,20,2552573,4298926960
20,20,9,2551786,4298926960
9,9,8,2552470,4298926960
9,9,8,2552581,4298926960
20,6,20,2552577,4298926960
9,9,6,2552577,4298926960
1,1,9,2552575,4298926961
9,9,26,2552471,4298926961
2,2,9,1913,4298926961
9,9,2,1913,4298926961
9,9,20,2552582,4298926961
6,6,20,2552472,4298926962
9,9,4,2552584,4298926962
9,9,13,2552595,4298926962
20,9,20,2552593,4298926962
1,6,1,2552590,4298926963
6,20,6,2552594,4298926963
9,9,8,2552600,4298926963
20,9,12,2552586,4298926963
1,9,1,2552598,4298926964
4,4,12,2552473,4298926964
6,6,9,2552593,4298926964
6,6,9,2552584,4298926964
13,21,13,2552599,4298926964
21,1,21,2552601,4298926964
6,9,6,2552584,4298926964
20,9,20,2552602,4298926964
8,8,18,16,4298926965
8,8,20,2551786,4298926965
1,1,12,2552499,4298926965
8,9,8,2551786,4298926965
9,9,4,2552473,4298926965
9,9,8,2552610,4298926965
